,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,category,Title,recurrence,recur_date
0,0,0,0,0,Paycheck,Paycheck - BK,bi-weekly,2021-01-07
1,1,1,1,1,Mortgage & Rent,Rent,monthly,2020-12-28
2,2,2,2,2,Electric,Ameren,monthly,2021-01-10
3,3,3,3,3,Natural Gas,Spire,monthly,2021-01-19
4,4,4,4,4,Mobile Phone,Sprint,monthly,2021-01-09
5,5,5,5,5,Internet,Spectrum,monthly,2020-12-31
6,6,6,6,6,Motorcycle Insurance,Dairyland,yearly,2021-07-16
7,7,7,7,7,Gym,FitnessYourWay,monthly,2021-01-16
8,8,8,8,8,Spotify,Spotify,monthly,2021-01-23
